age,experience,education,job_title,location,country,company_size,skills,salary
50,14,Master,Accountant,Delhi,India,Small (50-200),"Python, Project Management, PowerPoint, Communication, SQL, Teamwork, Excel, Machine Learning",103179
42,32,Bachelor,Pharmacist,Seattle,USA,Startup (1-50),"SQL, Leadership, Project Management, Excel, JavaScript, Communication",317683
25,24,PhD,Risk Manager,New York,USA,Small (50-200),"Communication, Project Management, JavaScript, Leadership, SQL, AWS, Python, Excel",428900
50,17,Master,Data Scientist,Birmingham,UK,Small (50-200),"Machine Learning, Python, Excel, AWS, Communication, SQL, Leadership",170337
50,14,Bachelor,Accountant,Sydney,Australia,Startup (1-50),"AWS, SQL, JavaScript, Excel, Project Management, PowerPoint, Leadership, Teamwork",172494
49,6,Master,Pharmacist,Remote,USA,Small (50-200),"Leadership, SQL, AWS, Communication, PowerPoint",148172
35,38,High School,Marketing Manager,Manchester,UK,Medium (200-1000),"SQL, Leadership, Communication, Teamwork, Financial Modeling",133593
50,35,PhD,Accountant,Remote,India,Medium (200-1000),"Python, Machine Learning, SQL, Teamwork, Communication, PowerPoint",152686
49,24,Bachelor,Software Engineer,Seattle,USA,Startup (1-50),"Teamwork, SQL, Communication, Financial Modeling, JavaScript",250110
36,31,Bachelor,Risk Manager,Remote,USA,Large (1000+),"AWS, Leadership, Communication, Project Management, Excel, Financial Modeling, JavaScript, Python",255977
49,22,Bachelor,Software Engineer,Remote,India,Startup (1-50),"Financial Modeling, SQL, JavaScript, Python, Communication",85933
26,33,Master,Nurse,Sydney,Australia,Medium (200-1000),"Python, PowerPoint, JavaScript, Project Management, Teamwork, Financial Modeling, SQL",445687
54,39,Bachelor,Investment Banker,Chennai,India,Startup (1-50),"Project Management, Excel, JavaScript, Financial Modeling, Python",110754
33,4,PhD,Risk Manager,Delhi,India,Startup (1-50),"JavaScript, Leadership, SQL, PowerPoint, Project Management, Machine Learning, Teamwork",87218
56,24,Master,Teacher,Remote,UK,Small (50-200),"PowerPoint, SQL, Financial Modeling, Project Management, Machine Learning",129140
43,21,Bachelor,Financial Analyst,Seattle,USA,Small (50-200),"Machine Learning, Leadership, Financial Modeling, Project Management, PowerPoint, AWS, Python, Excel",245804
56,16,PhD,Teacher,Edinburgh,UK,Startup (1-50),"SQL, Project Management, Leadership, Financial Modeling, Excel, Communication, PowerPoint, AWS",138518
24,17,Bachelor,Product Manager,Manchester,UK,Large (1000+),"JavaScript, AWS, Financial Modeling, Machine Learning, Teamwork, Communication, Python",191300
50,25,Master,Medical Technician,London,UK,Large (1000+),"Excel, Communication, Project Management, JavaScript, SQL",348952
46,21,Bachelor,Sales Executive,Remote,UK,Large (1000+),"Project Management, SQL, Machine Learning, Leadership, Excel, PowerPoint",134134
53,29,Bachelor,Investment Banker,Adelaide,Australia,Large (1000+),"Excel, Teamwork, JavaScript, Project Management, SQL, AWS, Communication, PowerPoint",213873
44,8,Master,Software Engineer,London,UK,Small (50-200),"Leadership, SQL, AWS, Machine Learning, Teamwork, PowerPoint, Communication, Python",193610
37,36,Bachelor,Teacher,San Francisco,USA,Large (1000+),"Excel, Financial Modeling, SQL, Machine Learning, Project Management, Python",416065
52,9,Master,Software Engineer,Atlanta,USA,Large (1000+),"Project Management, JavaScript, Communication, Leadership, Excel, Teamwork, Machine Learning, AWS",219899
54,36,Master,Software Engineer,Melbourne,Australia,Startup (1-50),"Financial Modeling, JavaScript, Excel, AWS, Project Management, Python, PowerPoint, Leadership",337431
